top - 20:08:01 up 36 min,  1 user,  load average: 0.40, 0.11, 0.04
Tasks: 277 total,   1 running, 276 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,100.0 sy,  0.0 ni,  0.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   1932.4 total,    114.7 free,   1382.7 used,    613.8 buff/cache     
MiB Swap:    975.0 total,    913.0 free,     62.0 used.    549.7 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1631 kali      20   0  499488  14032  10088 S   0.0   0.7   0:00.04 gvfs-ud+
   1636 kali      20   0  234612   8216   5632 S   0.0   0.4   0:00.01 gvfs-gp+
   1640 kali      20   0  312620   9864   6912 S   0.0   0.5   0:00.05 gvfs-af+
   1651 kali      20   0  233716   7856   5600 S   0.0   0.4   0:00.01 gvfs-go+
   1659 kali      20   0  808664  34304  16016 S   0.0   1.7   0:00.10 goa-dae+
   1679 kali      20   0  312880  12172   7040 S   0.0   0.6   0:00.02 goa-ide+
   1684 kali      20   0  233524   8152   5724 S   0.0   0.4   0:00.01 gvfs-mt+
   1713 kali      20   0  236988   8776   6328 S   0.0   0.4   0:00.00 xdg-per+
   1715 kali      20   0  581044  16028  11680 S   0.0   0.8   0:00.04 gnome-s+
   1734 kali      20   0  817576  38212  21956 S   0.0   1.9   0:00.14 evoluti+
   1741 kali      20   0 2530828  31280  20376 S   0.0   1.6   0:00.05 gjs
   1743 kali      20   0  164328   9284   6504 S   0.0   0.5   0:00.00 at-spi2+
   1752 kali      20   0    2580    676    676 S   0.0   0.0   0:00.00 sh
   1753 kali      20   0  307684   8708   6360 S   0.0   0.4   0:00.01 gsd-a11+
   1755 kali      20   0  312736  13732   6964 S   0.0   0.7   0:01.02 ibus-da+
   1756 kali      20   0  340484  27856  18792 S   0.0   1.4   0:00.07 gsd-col+
   1757 kali      20   0  355572  13200   9868 S   0.0   0.7   0:00.01 gsd-dat+
   1758 kali      20   0  382976   9556   6912 S   0.0   0.5   0:00.03 gsd-hou+
   1760 kali      20   0  339296  22636  17700 S   0.0   1.1   0:00.05 gsd-key+
   1763 kali      20   0  668776  29260  21428 S   0.0   1.5   0:00.10 gsd-med+
   1764 kali      20   0  524504  28564  20580 S   0.0   1.4   0:00.07 gsd-pow+
   1768 kali      20   0  247424  13000  10148 S   0.0   0.7   0:00.02 gsd-pri+
   1772 kali      20   0  454972   8140   5644 S   0.0   0.4   0:00.01 gsd-rfk+
   1776 kali      20   0  233388   8232   5880 S   0.0   0.4   0:00.01 gsd-scr+
   1779 kali      20   0  463596  13140   7956 S   0.0   0.7   0:00.02 gsd-sha+
   1782 kali      20   0  385912   9784   7072 S   0.0   0.5   0:00.01 gsd-sma+
   1783 kali      20   0  319696  11548   8504 S   0.0   0.6   0:00.01 gsd-sou+
   1784 kali      20   0  456224   8996   6520 S   0.0   0.5   0:00.02 gsd-usb+
