Netid State  Recv-Q Send-Q                                          Local Address:Port           Peer Address:Port Process                                                                                                                                                                                                                                     
u_str ESTAB  56     0                                                           * 25507                     * 25508 users:(("pipewire",pid=1895,fd=12))                                                                                                                                                                                                        
u_str ESTAB  0      0                                                           * 17391                     * 17392 users:(("dbus-daemon",pid=716,fd=8))                                                                                                                                                                                                       
u_str ESTAB  0      0                                          /run/user/1000/bus 30337                     * 30336 users:(("dbus-daemon",pid=1909,fd=88))                                                                                                                                                                                                     
u_str ESTAB  0      0                                          /run/user/1000/bus 26569                     * 27441 users:(("dbus-daemon",pid=1909,fd=46))                                                                                                                                                                                                     
u_str ESTAB  0      0                                                           * 27221                     * 26148 users:(("gjs",pid=2207,fd=2))                                                                                                                                                                                                              
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 17394                     * 18218 users:(("dbus-daemon",pid=716,fd=10))                                                                                                                                                                                                      
u_str ESTAB  0      0                                                           * 27533                     * 27534 users:(("evolution-calen",pid=2472,fd=11))                                                                                                                                                                                                 
u_str ESTAB  0      0                                                           * 26593                     * 27443 users:(("gvfs-mtp-volume",pid=2398,fd=2),("gvfs-mtp-volume",pid=2398,fd=1))                                                                                                                                                                
u_str ESTAB  0      0                                                           * 30338                     * 30339 users:(("gnome-terminal-",pid=2993,fd=10))                                                                                                                                                                                                 
u_str ESTAB  0      0                                                           * 29263                     * 27958 users:(("tracker-miner-f",pid=2681,fd=5))                                                                                                                                                                                                  
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 26147                     * 27220 users:(("systemd-journal",pid=381,fd=105),("systemd",pid=1,fd=274))                                                                                                                                                                        
u_str ESTAB  0      0                                                           * 25356                     * 24553 users:(("systemd",pid=1880,fd=24))                                                                                                                                                                                                         
u_str ESTAB  0      0                                                           * 19637                     * 18816 users:(("NetworkManager",pid=783,fd=6))                                                                                                                                                                                                    
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 28267                     * 28266 users:(("dbus-daemon",pid=716,fd=25))                                                                                                                                                                                                      
u_str ESTAB  0      0                                          /run/user/1000/bus 27463                     * 27462 users:(("dbus-daemon",pid=1909,fd=55))                                                                                                                                                                                                     
u_str ESTAB  0      0                                                           * 26618                     * 27792 users:(("ibus-extension-",pid=2422,fd=3))                                                                                                                                                                                                  
u_str ESTAB  0      0                                                           * 20652                     * 19428 users:(("dbus",pid=1023,fd=3))                                                                                                                                                                                                             
u_str ESTAB  0      0                          /run/systemd/io.systemd.ManagedOOM 17006                     * 17978 users:(("systemd",pid=1,fd=63))                                                                                                                                                                                                            
u_str LISTEN 0      10                       /home/kali/.cache/ibus/dbus-c9Wha4yT 26595                     * 0     users:(("ibus-daemon",pid=2214,fd=8))                                                                                                                                                                                                      
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 27367                     * 26376 users:(("systemd-journal",pid=381,fd=120),("systemd",pid=1,fd=293))                                                                                                                                                                        
u_str ESTAB  0      0                                                           * 23771                     * 23774 users:(("packagekitd",pid=1528,fd=2),("packagekitd",pid=1528,fd=1))                                                                                                                                                                        
u_str ESTAB  0      0                                                           * 27531                     * 27691 users:(("gvfs-gphoto2-vo",pid=2480,fd=6))                                                                                                                                                                                                  
u_str ESTAB  0      0                                                           * 23898                     * 24864 users:(("upowerd",pid=1529,fd=5))                                                                                                                                                                                                          
u_str ESTAB  0      0                                                           * 27455                     * 27649 users:(("ibus-dconf",pid=2421,fd=11))                                                                                                                                                                                                      
u_str ESTAB  0      0                                        @/tmp/.ICE-unix/2083 27233                     * 27231 users:(("gnome-session-b",pid=2083,fd=15))                                                                                                                                                                                                 
u_str ESTAB  0      0                                          /run/user/1000/bus 27183                     * 27182 users:(("dbus-daemon",pid=1909,fd=25))                                                                                                                                                                                                     
u_str ESTAB  0      0                                                           * 25498                     * 25497 users:(("dbus-daemon",pid=1909,fd=8))                                                                                                                                                                                                      
u_str ESTAB  0      0                                                           * 17299                     * 18286 users:(("fsidd",pid=719,fd=2),("fsidd",pid=719,fd=1))                                                                                                                                                                                      
u_str ESTAB  0      0                                                           * 27667                     * 27668 users:(("goa-daemon",pid=2453,fd=12))                                                                                                                                                                                                      
u_str ESTAB  0      0                                    /run/user/1000/wayland-0 27754                     * 26515 users:(("gnome-shell",pid=2121,fd=61),("gnome-shell",pid=2121,fd=58))                                                                                                                                                                      
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 15159                     * 15768 users:(("systemd-journal",pid=381,fd=23),("systemd",pid=1,fd=249))                                                                                                                                                                         
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 27534                     * 27533 users:(("dbus-daemon",pid=716,fd=86))                                                                                                                                                                                                      
u_str ESTAB  0      0                                                           * 27776                     * 27777 users:(("pipewire-pulse",pid=1908,fd=24))                                                                                                                                                                                                  
u_str ESTAB  0      0                                /run/gdm3/dbus/dbus-LMxAbYhs 24400                     * 0     users:(("gdm3",pid=1068,fd=16))                                                                                                                                                                                                            
u_dgr ESTAB  0      0                                                           * 18262                     * 12169 users:(("avahi-daemon",pid=782,fd=4),("avahi-daemon",pid=715,fd=4))                                                                                                                                                                        
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 17396                     * 17216 users:(("dbus-daemon",pid=716,fd=12))                                                                                                                                                                                                      
u_str ESTAB  0      0                                                           * 28895                     * 28896 users:(("snapd-desktop-i",pid=2648,fd=7))                                                                                                                                                                                                  
u_str ESTAB  0      0                                    /run/user/1000/wayland-0 27792                     * 26618 users:(("gnome-shell",pid=2121,fd=82),("gnome-shell",pid=2121,fd=81))                                                                                                                                                                      
u_str ESTAB  0      0                                                           * 26564                     * 27755 users:(("gsd-power",pid=2234,fd=3))                                                                                                                                                                                                        
u_str ESTAB  0      0                                                           * 27229                     * 27232 users:(("gjs",pid=2207,fd=5))                                                                                                                                                                                                              
u_str ESTAB  0      0                                                           * 24449                     * 24451 users:(("gdm-session-wor",pid=1868,fd=1))                                                                                                                                                                                                  
u_str ESTAB  0      0                                 /run/user/1000/pulse/native 28236                     * 28235 users:(("pipewire-pulse",pid=1908,fd=27))                                                                                                                                                                                                  
u_str ESTAB  0      0                                                           * 27220                     * 26147 users:(("gjs",pid=2207,fd=1))                                                                                                                                                                                                              
u_str ESTAB  0      0                                                           * 20612                     * 19352 users:(("cupsd",pid=1010,fd=2),("cupsd",pid=1010,fd=1))                                                                                                                                                                                    
u_str LISTEN 0      4096                  /run/systemd/journal/io.systemd.journal 12231                     * 0     users:(("systemd-journal",pid=381,fd=9))                                                                                                                                                                                                   
u_str ESTAB  0      0                                                           * 27550                     * 27551 users:(("evolution-addre",pid=2499,fd=2),("evolution-addre",pid=2499,fd=1))                                                                                                                                                                
u_str ESTAB  0      0                                                           * 26143                     * 26144 users:(("gnome-shell-cal",pid=2186,fd=5))                                                                                                                                                                                                  
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 23774                     * 23771 users:(("systemd-journal",pid=381,fd=63),("systemd",pid=1,fd=154))                                                                                                                                                                         
u_str ESTAB  0      0                                                           * 27441                     * 26569 users:(("gsd-power",pid=2234,fd=7))                                                                                                                                                                                                        
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 26148                     * 27221 users:(("systemd-journal",pid=381,fd=106),("systemd",pid=1,fd=277))                                                                                                                                                                        
u_str ESTAB  0      0                                                           * 26651                     * 26652 users:(("xdg-permission-",pid=1945,fd=2),("xdg-permission-",pid=1945,fd=1))                                                                                                                                                                
u_str ESTAB  0      0                                                           * 15768                     * 15159 users:(("systemd-oomd",pid=528,fd=2),("systemd-oomd",pid=528,fd=1))                                                                                                                                                                        
u_str ESTAB  0      0                                                           * 27804                     * 27805 users:(("gsd-color",pid=2220,fd=11))                                                                                                                                                                                                       
u_str ESTAB  0      0                                                           * 26619                     * 27451 users:(("ibus-extension-",pid=2422,fd=6))                                                                                                                                                                                                  
u_str ESTAB  0      0                                    /run/user/1000/wayland-0 27755                     * 26564 users:(("gnome-shell",pid=2121,fd=63),("gnome-shell",pid=2121,fd=62))                                                                                                                                                                      
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 18286                     * 17299 users:(("systemd-journal",pid=381,fd=27),("systemd",pid=1,fd=243))                                                                                                                                                                         
u_dgr ESTAB  0      0                                                           * 17042                     * 17041 users:(("systemd-timesyn",pid=538,fd=11))                                                                                                                                                                                                  
u_str ESTAB  0      0                                                           * 27964                     * 29293 users:(("mutter-x11-fram",pid=2794,fd=3))                                                                                                                                                                                                  
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 27525                     * 27524 users:(("systemd-journal",pid=381,fd=136),("systemd",pid=1,fd=307))                                                                                                                                                                        
u_str ESTAB  0      0                                                           * 26371                     * 27364 users:(("gsd-sharing",pid=2251,fd=2),("gsd-sharing",pid=2251,fd=1))                                                                                                                                                                        
u_dgr ESTAB  0      0                                                           * 17259                     * 12169 users:(("anacron",pid=713,fd=4))                                                                                                                                                                                                           
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 28784                     * 27808 users:(("dbus-daemon",pid=716,fd=87))                                                                                                                                                                                                      
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 27490                     * 27664 users:(("systemd-journal",pid=381,fd=133),("systemd",pid=1,fd=304))                                                                                                                                                                        
u_str ESTAB  0      0                                                           * 26515                     * 27754 users:(("gsd-color",pid=2220,fd=3))                                                                                                                                                                                                        
u_str ESTAB  0      0                                                           * 25497                     * 25498 users:(("dbus-daemon",pid=1909,fd=7))                                                                                                                                                                                                      
u_str ESTAB  0      0                                          /run/user/1000/bus 30334                     * 30333 users:(("dbus-daemon",pid=1909,fd=70))                                                                                                                                                                                                     
u_str ESTAB  0      0                                   /run/user/1000/pipewire-0 28238                     * 28237 users:(("pipewire",pid=1894,fd=53))                                                                                                                                                                                                        
u_str ESTAB  0      0                                    /run/user/1000/wayland-0 27791                     * 27440 users:(("gnome-shell",pid=2121,fd=79),("gnome-shell",pid=2121,fd=78))                                                                                                                                                                      
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 18244                     * 18243 users:(("systemd-journal",pid=381,fd=18),("systemd",pid=1,fd=246))                                                                                                                                                                         
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 27364                     * 26371 users:(("systemd-journal",pid=381,fd=110),("systemd",pid=1,fd=282))                                                                                                                                                                        
u_str ESTAB  0      0                                                           * 27506                     * 27507 users:(("gvfs-afc-volume",pid=2474,fd=2),("gvfs-afc-volume",pid=2474,fd=1))                                                                                                                                                                
u_str ESTAB  0      0                                                           * 30336                     * 30337 users:(("gnome-terminal-",pid=2993,fd=9))                                                                                                                                                                                                  
u_str ESTAB  0      0                                                           * 27808                     * 28784 users:(("gsd-power",pid=2234,fd=13))                                                                                                                                                                                                       
u_str ESTAB  0      0                                          /run/user/1000/bus 27460                     * 27459 users:(("dbus-daemon",pid=1909,fd=54))                                                                                                                                                                                                     
u_str ESTAB  0      0                                          /run/user/1000/bus 26579                     * 26578 users:(("dbus-daemon",pid=1909,fd=50))                                                                                                                                                                                                     
u_str ESTAB  136    0                                                           * 27170                     * 27171 users:(("at-spi2-registr",pid=2171,fd=3))                                                                                                                                                                                                  
u_str ESTAB  0      768                               /run/dbus/system_bus_socket 25508                     * 25507 users:(("dbus-daemon",pid=716,fd=26))                                                                                                                                                                                                      
u_str ESTAB  0      0                                                           * 20653                     * 19430 users:(("dbus",pid=1025,fd=3))                                                                                                                                                                                                             
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 19710                     * 19709 users:(("dbus-daemon",pid=716,fd=24))                                                                                                                                                                                                      
u_str LISTEN 0      4096                                     @/tmp/.ICE-unix/2083 26027                     * 0     users:(("gnome-session-b",pid=2083,fd=11))                                                                                                                                                                                                 
u_str LISTEN 0      1                                          @/tmp/.X11-unix/X0 27153                     * 0     users:(("Xwayland",pid=2488,fd=4))                                                                                                                                                                                                         
u_str LISTEN 0      1                                          @/tmp/.X11-unix/X1 27155                     * 0     users:(("Xwayland",pid=2488,fd=7))                                                                                                                                                                                                         
u_str ESTAB  0      0                  @a21b15441f368e8b/bus/systemd/bus-api-user 25751                     * 25504 users:(("systemd",pid=1880,fd=59))                                                                                                                                                                                                         
u_seq LISTEN 0      5                                             @/run/fsid.sock 17305                     * 0     users:(("fsidd",pid=719,fd=4))                                                                                                                                                                                                             
u_str ESTAB  0      0              @ec00b840c30622de/bus/systemd-oomd/bus-api-oom 18218                     * 17394 users:(("systemd-oomd",pid=528,fd=11))                                                                                                                                                                                                     
u_str ESTAB  0      0      @6853b64ca26b72c4/bus/systemd-timesyn/bus-api-timesync 17216                     * 17396 users:(("systemd-timesyn",pid=538,fd=16))                                                                                                                                                                                                  
u_str ESTAB  0      0                 @48c09816f8e9b5b9/bus/systemd-logind/system 18636                     * 18640 users:(("systemd-logind",pid=756,fd=15))                                                                                                                                                                                                   
u_str ESTAB  0      0                @34cfa1df1c80b96a/bus/systemd/bus-api-system 18528                     * 18529 users:(("systemd",pid=1,fd=150))                                                                                                                                                                                                           
u_str ESTAB  0      0                    @1a2612924b7615d2/bus/systemd/bus-system 25353                     * 25354 users:(("systemd",pid=1880,fd=22))                                                                                                                                                                                                         
u_str ESTAB  0      0       @6d6b9cabde74c7a2/bus/systemd-resolve/bus-api-resolve 17215                     * 17395 users:(("systemd-resolve",pid=535,fd=20))                                                                                                                                                                                                  
udp   UNCONN 0      0                                                     0.0.0.0:43519               0.0.0.0:*                                                                                                                                                                                                                                                
udp   UNCONN 0      0                                                     0.0.0.0:53833               0.0.0.0:*     users:(("rpc.statd",pid=1067,fd=8))                                                                                                                                                                                                        
udp   UNCONN 0      0                                                     0.0.0.0:56053               0.0.0.0:*     users:(("rpc.mountd",pid=1061,fd=4))                                                                                                                                                                                                       
udp   UNCONN 0      0                                                   127.0.0.1:819                 0.0.0.0:*     users:(("rpc.statd",pid=1067,fd=5))                                                                                                                                                                                                        
udp   UNCONN 0      0                                                     0.0.0.0:5353                0.0.0.0:*     users:(("avahi-daemon",pid=715,fd=12))                                                                                                                                                                                                     
udp   UNCONN 0      0                                                     0.0.0.0:44664               0.0.0.0:*     users:(("avahi-daemon",pid=715,fd=14))                                                                                                                                                                                                     
udp   UNCONN 0      0                                                     0.0.0.0:38835               0.0.0.0:*     users:(("rpc.mountd",pid=1061,fd=8))                                                                                                                                                                                                       
udp   UNCONN 0      0                                                  127.0.0.54:53                  0.0.0.0:*     users:(("systemd-resolve",pid=535,fd=16))                                                                                                                                                                                                  
udp   UNCONN 0      0                                               127.0.0.53%lo:53                  0.0.0.0:*     users:(("systemd-resolve",pid=535,fd=14))                                                                                                                                                                                                  
udp   ESTAB  0      0                                       192.168.110.130%ens33:68          192.168.110.254:67    users:(("NetworkManager",pid=783,fd=26))                                                                                                                                                                                                   
udp   UNCONN 0      0                                                     0.0.0.0:111                 0.0.0.0:*     users:(("rpcbind",pid=524,fd=5),("systemd",pid=1,fd=199))                                                                                                                                                                                  
udp   UNCONN 0      0                                             192.168.110.255:137                 0.0.0.0:*     users:(("nmbd",pid=1136,fd=16))                                                                                                                                                                                                            
udp   UNCONN 0      0                                             192.168.110.130:137                 0.0.0.0:*     users:(("nmbd",pid=1136,fd=15))                                                                                                                                                                                                            
udp   UNCONN 0      0                                                     0.0.0.0:137                 0.0.0.0:*     users:(("nmbd",pid=1136,fd=13))                                                                                                                                                                                                            
udp   UNCONN 0      0                                             192.168.110.255:138                 0.0.0.0:*     users:(("nmbd",pid=1136,fd=18))                                                                                                                                                                                                            
udp   UNCONN 0      0                                             192.168.110.130:138                 0.0.0.0:*     users:(("nmbd",pid=1136,fd=17))                                                                                                                                                                                                            
udp   UNCONN 0      0                                                     0.0.0.0:138                 0.0.0.0:*     users:(("nmbd",pid=1136,fd=14))                                                                                                                                                                                                            
udp   UNCONN 0      0                                                     0.0.0.0:57529               0.0.0.0:*     users:(("rpc.mountd",pid=1061,fd=12))                                                                                                                                                                                                      
udp   UNCONN 0      0                                                        [::]:58126                  [::]:*     users:(("avahi-daemon",pid=715,fd=15))                                                                                                                                                                                                     
udp   UNCONN 0      0                                                        [::]:58134                  [::]:*                                                                                                                                                                                                                                                
udp   UNCONN 0      0                                                        [::]:52008                  [::]:*     users:(("rpc.mountd",pid=1061,fd=6))                                                                                                                                                                                                       
udp   UNCONN 0      0                                                        [::]:50291                  [::]:*     users:(("rpc.statd",pid=1067,fd=10))                                                                                                                                                                                                       
udp   UNCONN 0      0                                                        [::]:5353                   [::]:*     users:(("avahi-daemon",pid=715,fd=13))                                                                                                                                                                                                     
udp   UNCONN 0      0                                                        [::]:40847                  [::]:*     users:(("rpc.mountd",pid=1061,fd=14))                                                                                                                                                                                                      
udp   UNCONN 0      0                                                        [::]:111                    [::]:*     users:(("rpcbind",pid=524,fd=7),("systemd",pid=1,fd=201))                                                                                                                                                                                  
udp   UNCONN 0      0                                                        [::]:57538                  [::]:*     users:(("rpc.mountd",pid=1061,fd=10))                                                                                                                                                                                                      
tcp   LISTEN 0      4096                                                  0.0.0.0:111                 0.0.0.0:*     users:(("rpcbind",pid=524,fd=4),("systemd",pid=1,fd=198))                                                                                                                                                                                  
tcp   LISTEN 0      64                                                    0.0.0.0:2049                0.0.0.0:*                                                                                                                                                                                                                                                
tcp   LISTEN 0      50                                                    0.0.0.0:139                 0.0.0.0:*     users:(("smbd",pid=1198,fd=31))                                                                                                                                                                                                            
tcp   LISTEN 0      50                                                    0.0.0.0:445                 0.0.0.0:*     users:(("smbd",pid=1198,fd=30))                                                                                                                                                                                                            
tcp   LISTEN 0      4096                                                127.0.0.1:631                 0.0.0.0:*     users:(("cupsd",pid=1010,fd=7))                                                                                                                                                                                                            
tcp   LISTEN 0      4096                                               127.0.0.54:53                  0.0.0.0:*     users:(("systemd-resolve",pid=535,fd=17))                                                                                                                                                                                                  
tcp   LISTEN 0      4096                                                  0.0.0.0:40031               0.0.0.0:*     users:(("rpc.statd",pid=1067,fd=9))                                                                                                                                                                                                        
tcp   LISTEN 0      4096                                            127.0.0.53%lo:53                  0.0.0.0:*     users:(("systemd-resolve",pid=535,fd=15))                                                                                                                                                                                                  
tcp   LISTEN 0      4096                                                  0.0.0.0:46085               0.0.0.0:*     users:(("rpc.mountd",pid=1061,fd=5))                                                                                                                                                                                                       
tcp   LISTEN 0      64                                                    0.0.0.0:44535               0.0.0.0:*                                                                                                                                                                                                                                                
tcp   LISTEN 0      4096                                                  0.0.0.0:46609               0.0.0.0:*     users:(("rpc.mountd",pid=1061,fd=9))                                                                                                                                                                                                       
tcp   LISTEN 0      4096                                                  0.0.0.0:52877               0.0.0.0:*     users:(("rpc.mountd",pid=1061,fd=13))                                                                                                                                                                                                      
